Customer_ID,Age,Gender,Region,Membership_Type,Monthly_Spending,Number_of_Orders,Days_Since_Last_Purchase,Customer_Support_Calls,Average_Rating,Used_Coupon,Newsletter_Subscribed,Device_Type,Churned
1,37.0,Female,Manitoba,Platinum,332.0,1,218,7,1.0,No,No,Mobile,Yes
2,41.0,Female,Manitoba,Silver,632.0,11,199,3,3.0,No,Yes,Desktop,No
3,30.0,Male,British Columbia,Platinum,972.0,16,258,2,4.0,No,No,Tablet,No
4,58.0,Female,Manitoba,Basic,752.0,10,197,8,5.0,No,No,Mobile,Yes
5,59.0,Male,Quebec,Silver,619.0,12,81,3,4.0,No,Yes,Mobile,No
6,25.0,Female,Ontario,Silver,922.0,4,122,0,5.0,No,No,Mobile,No
7,56.0,Male,British Columbia,Basic,1119.0,7,253,5,2.0,No,No,Desktop,Yes
8,40.0,Male,Ontario,Basic,456.0,12,238,7,3.0,Yes,No,Mobile,Yes
9,19.0,Male,Quebec,Basic,1058.0,22,258,3,4.0,No,Yes,Mobile,No
10,25.0,Male,Quebec,Basic,1107.0,5,242,5,5.0,Yes,Yes,Mobile,No
11,66.0,Female,British Columbia,Gold,741.0,3,349,5,4.0,Yes,No,Desktop,No
12,46.0,Female,Quebec,Silver,489.0,10,240,1,1.0,Yes,No,Mobile,No
13,43.0,Male,British Columbia,Platinum,633.0,4,147,6,1.0,Yes,Yes,Mobile,No
14,37.0,Female,Ontario,Silver,712.0,22,116,8,3.0,Yes,No,Mobile,No
15,27.0,Female,Alberta,Gold,405.0,11,4,8,4.0,Yes,Yes,Mobile,No
16,48.0,Male,British Columbia,Basic,1083.0,8,202,8,5.0,No,Yes,Mobile,No
17,54.0,Male,Quebec,Basic,76.0,7,152,9,5.0,No,Yes,Mobile,Yes
18,41.0,Female,British Columbia,Silver,971.0,21,165,8,2.0,Yes,No,Desktop,Yes
19,38.0,Male,Alberta,Silver,1157.0,0,216,1,1.0,Yes,No,Desktop,No
20,58.0,Female,Alberta,Silver,655.0,21,55,8,2.0,No,Yes,Tablet,No
21,44.0,Female,British Columbia,Gold,600.0,21,270,5,2.0,No,Yes,Mobile,Yes
22,27.0,Male,Alberta,Silver,272.0,19,59,6,5.0,Yes,Yes,Mobile,No
23,33.0,Female,Alberta,Gold,851.0,0,342,8,2.0,Yes,Yes,Mobile,Yes
